state,location,type,so2,no2,pm2_5,AQI
Dadra & Nagar Haveli,Khadoli,Industrial Area,18.0,31.0,35.0,57.758620689655174
Dadra & Nagar Haveli,Khadoli,Industrial Area,14.0,26.0,32.0,52.689655172413794
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,28.0,35.0,57.758620689655174
Dadra & Nagar Haveli,Khadoli,Industrial Area,13.0,23.0,24.0,40.0
Dadra & Nagar Haveli,Khadoli,Industrial Area,14.0,29.0,32.0,52.689655172413794
Dadra & Nagar Haveli,Khadoli,Industrial Area,13.0,25.0,22.0,36.666666666666664
Dadra & Nagar Haveli,Khadoli,Industrial Area,12.0,21.0,27.0,45.0
Dadra & Nagar Haveli,Khadoli,Industrial Area,15.0,26.0,29.0,48.333333333333336
Dadra & Nagar Haveli,Khadoli,Industrial Area,14.0,25.0,27.0,45.0
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,26.0,34.0,56.06896551724138
Dadra & Nagar Haveli,Khadoli,Industrial Area,14.0,23.0,31.0,51.666666666666664
Dadra & Nagar Haveli,Khadoli,Industrial Area,13.0,23.0,27.0,45.0
Dadra & Nagar Haveli,Khadoli,Industrial Area,11.0,22.0,23.0,38.333333333333336
Dadra & Nagar Haveli,Khadoli,Industrial Area,13.0,23.0,28.0,46.666666666666664
Dadra & Nagar Haveli,Khadoli,Industrial Area,14.0,24.0,26.0,43.333333333333336
Dadra & Nagar Haveli,Khadoli,Industrial Area,14.0,26.0,29.0,48.333333333333336
Dadra & Nagar Haveli,Khadoli,Industrial Area,14.0,24.0,29.0,48.333333333333336
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,27.0,35.0,57.758620689655174
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,28.0,33.0,54.37931034482759
Dadra & Nagar Haveli,Khadoli,Industrial Area,17.0,28.0,34.0,56.06896551724138
Dadra & Nagar Haveli,Khadoli,Industrial Area,17.0,27.0,32.0,52.689655172413794
Dadra & Nagar Haveli,Khadoli,Industrial Area,15.0,24.0,28.0,46.666666666666664
Dadra & Nagar Haveli,Khadoli,Industrial Area,15.0,26.0,32.0,52.689655172413794
Dadra & Nagar Haveli,Khadoli,Industrial Area,15.0,25.0,35.0,57.758620689655174
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,25.0,28.0,46.666666666666664
Dadra & Nagar Haveli,Khadoli,Industrial Area,15.0,26.0,32.0,52.689655172413794
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,27.0,35.0,57.758620689655174
Dadra & Nagar Haveli,Khadoli,Industrial Area,18.0,29.0,37.0,61.13793103448276
Dadra & Nagar Haveli,Khadoli,Industrial Area,18.0,31.0,29.0,48.333333333333336
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,28.0,25.0,41.666666666666664
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,25.0,29.0,48.333333333333336
Dadra & Nagar Haveli,Khadoli,Industrial Area,15.0,25.0,25.0,41.666666666666664
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,26.0,23.0,38.333333333333336
Dadra & Nagar Haveli,Khadoli,Industrial Area,19.0,29.0,33.0,54.37931034482759
Dadra & Nagar Haveli,Khadoli,Industrial Area,17.0,28.0,31.0,51.666666666666664
Dadra & Nagar Haveli,Khadoli,Industrial Area,21.0,32.0,36.0,59.44827586206897
Dadra & Nagar Haveli,Khadoli,Industrial Area,22.0,34.0,34.0,56.06896551724138
Dadra & Nagar Haveli,Khadoli,Industrial Area,19.0,30.0,33.0,54.37931034482759
Dadra & Nagar Haveli,Khadoli,Industrial Area,17.0,29.0,32.0,52.689655172413794
Dadra & Nagar Haveli,Khadoli,Industrial Area,18.0,30.0,35.0,57.758620689655174
Dadra & Nagar Haveli,Khadoli,Industrial Area,16.0,29.0,34.0,56.06896551724138
Dadra & Nagar Haveli,Khadoli,Industrial Area,20.0,33.0,32.0,52.689655172413794
Dadra & Nagar Haveli,Khadoli,Industrial Area,19.0,31.0,30.0,50.0
Daman & Diu,Daman,Industrial Area,12.0,22.0,30.0,50.0
Daman & Diu,Daman,Industrial Area,14.0,24.0,28.0,46.666666666666664
Daman & Diu,Daman,Industrial Area,14.0,26.0,23.0,38.333333333333336
Daman & Diu,Daman,Industrial Area,12.0,21.0,22.0,36.666666666666664
Daman & Diu,Daman,Industrial Area,13.0,23.0,28.0,46.666666666666664
Daman & Diu,Daman,Industrial Area,14.0,25.0,27.0,45.0
Daman & Diu,Daman,Industrial Area,13.0,22.0,30.0,50.0
Daman & Diu,Daman,Industrial Area,12.0,21.0,26.0,43.333333333333336
Daman & Diu,Daman,Industrial Area,13.0,23.0,29.0,48.333333333333336
Daman & Diu,Daman,Industrial Area,14.0,25.0,28.0,46.666666666666664
Daman & Diu,Daman,Industrial Area,14.0,23.0,23.0,38.333333333333336
Daman & Diu,Daman,Industrial Area,12.0,23.0,25.0,41.666666666666664
Daman & Diu,Daman,Industrial Area,12.0,22.0,21.0,35.0
Daman & Diu,Daman,Industrial Area,9.0,19.0,19.0,31.666666666666668
Daman & Diu,Daman,Industrial Area,11.0,20.0,22.0,36.666666666666664
Daman & Diu,Daman,Industrial Area,11.0,21.0,25.0,41.666666666666664
Daman & Diu,Daman,Industrial Area,12.0,22.0,26.0,43.333333333333336
Daman & Diu,Daman,Industrial Area,12.0,23.0,23.0,38.333333333333336
Daman & Diu,Daman,Industrial Area,14.0,25.0,33.0,54.37931034482759
Daman & Diu,Daman,Industrial Area,16.0,26.0,31.0,51.666666666666664
Daman & Diu,Daman,Industrial Area,14.0,25.0,29.0,48.333333333333336
Daman & Diu,Daman,Industrial Area,15.0,27.0,28.0,46.666666666666664
Daman & Diu,Daman,Industrial Area,14.0,25.0,26.0,43.333333333333336
Daman & Diu,Daman,Industrial Area,14.0,24.0,27.0,45.0
Daman & Diu,Daman,Industrial Area,14.0,25.0,30.0,50.0
Daman & Diu,Daman,Industrial Area,13.0,23.0,25.0,41.666666666666664
Daman & Diu,Daman,Industrial Area,14.0,23.0,28.0,46.666666666666664
Daman & Diu,Daman,Industrial Area,14.0,25.0,27.0,45.0
Daman & Diu,Daman,Industrial Area,13.0,23.0,25.0,41.666666666666664
Daman & Diu,Daman,Industrial Area,15.0,26.0,29.0,48.333333333333336
Daman & Diu,Daman,Industrial Area,14.0,25.0,26.0,43.333333333333336
Daman & Diu,Daman,Industrial Area,14.0,23.0,25.0,41.666666666666664
Daman & Diu,Daman,Industrial Area,13.0,21.0,28.0,46.666666666666664
Daman & Diu,Daman,Industrial Area,13.0,22.0,25.0,41.666666666666664
Daman & Diu,Daman,Industrial Area,19.0,29.0,33.0,54.37931034482759
Daman & Diu,Daman,Industrial Area,17.0,28.0,31.0,51.666666666666664
Daman & Diu,Daman,Industrial Area,21.0,32.0,36.0,59.44827586206897
Daman & Diu,Daman,Industrial Area,22.0,34.0,34.0,56.06896551724138
Daman & Diu,Daman,Industrial Area,19.0,30.0,33.0,54.37931034482759
Daman & Diu,Daman,Industrial Area,17.0,29.0,32.0,52.689655172413794
Daman & Diu,Daman,Industrial Area,18.0,30.0,35.0,57.758620689655174
Daman & Diu,Daman,Industrial Area,16.0,29.0,34.0,56.06896551724138
Daman & Diu,Daman,Industrial Area,20.0,33.0,32.0,52.689655172413794
Daman & Diu,Daman,Industrial Area,19.0,31.0,30.0,50.0
Delhi,Delhi,"Residential, Rural and other Areas",4.0,43.0,78.0,159.0344827586207
Delhi,Delhi,"Residential, Rural and other Areas",4.0,39.0,83.0,176.10344827586206
Delhi,Delhi,"Residential, Rural and other Areas",4.0,46.0,146.0,320.3359375
